URL,Name,Address,Email,Phone
https://architizer.com/firms/studio-marco-vermeulen/,Studio Marco Vermeulen,Location Not Set,studio@marcovermeulen.nl,work: +31102250030
https://architizer.com/firms/christiandupraz-architectes/,CHRISTIAN DUPRAZ ARCHITECTURE OFFICE,"Les Acacias, Switzerland",info@cdao.ch,work: +41.22.321.13.23
https://architizer.com/firms/spasm-design-architects/,SPASM Design Architects,Location Not Set,,
https://architizer.com/firms/skylab-architecture/,Skylab Architecture,"Portland, United States",info@skylabarchitecture.com,work: 503-525-9315
https://architizer.com/firms/splinter-society-architecture/,Splinter Society Architecture,"Fitzroy, Australia",info@splintersociety.com,work: +61 (03) 9419 4189
https://architizer.com/firms/anna-philipp-philipp-architekten/,PHILIPPARCHITEKTEN  Anna Philipp,"Frankfurt am Main, Germany",office@philipparchitekten.de,work: (+49) 791 75990
https://architizer.com/firms/aatmakoto-yokomizo-architects-inc/,"aat+makoto yokomizo, architects Inc.",Location Not Set,,
https://architizer.com/firms/kasa-architects/,kasa architects,Japan,kasa_architect@tbz.t-com.ne.jp,
https://architizer.com/firms/termitary-house/,TROPICAL SPACE,"Ho Chi Minh City, Vietnam",nguyen@tropicalspaceil.com,cell: +84 905 375724
https://architizer.com/firms/staton-bouw/,STATON Bouw,"Werkendam, Netherlands",info@staton.nl,work: +31 183 - 67 81 94
https://architizer.com/firms/mesura/,MESURA,Location Not Set,info@mesura.eu,
https://architizer.com/firms/luciano-kruk-arquitectos/,Luciano Kruk Arquitectos,Location Not Set,info@lucianokruk.com,
https://architizer.com/firms/iterare-arquitectura-y-diseno/,Iterare arquitectos,"Valencia, Spain",contact@iterarearquitectos.com,cell: 607 20 40 69
https://architizer.com/firms/roman-izquierdo-bouldstridge/,Roman Izquierdo Bouldstridge,"Barcelona, Spain",info@romanizquierdo.com,cell: +34 626468648
https://architizer.com/firms/rise-design-studio/,RISE Design Studio,"London, United Kingdom",mail@risedesignstudio.co.uk,work: 02032901003
https://architizer.com/firms/reiulf-ramstad-architects/,Reiulf Ramstad Architects,"Oslo, Norway",firma@rra.no,work: 0047 22808480
https://architizer.com/firms/aires-mateus/,Aires Mateus,Location Not Set,m@airesmateus.com,
https://architizer.com/firms/snohetta/,Snøhetta,Location Not Set,,
https://architizer.com/firms/ryan-idesign/,布希先生空間設計,Taiwan,ryan913@hotmail.com,
https://architizer.com/firms/richter-dahl-rocha-associes-architectes-sa/,RDR architectes,Location Not Set,,
